Name,Burst,Poke,Basic Attacks,Tank,Sustain,Utility,Mobility,Difficulty
Irelia,50,10,80,40,10,60,70,9
Irelia,50,10,80,40,10,60,70,9
Aphelios,20,50,90,30,50,70,10,9
Fiora,40,20,60,40,20,60,50,3
Aatrox,30,20,50,20,50,40,30,3
Pyke,40,10,40,10,50,50,40,5
Ezreal,40,60,70,10,10,10,70,5
Ivern,10,20,20,20,10,80,20,3
Senna,10,20,20,20,10,80,20,3
Thresh,20,70,80,20,40,60,10,6
Singed,20,10,20,40,20,70,20,7
Braum,10,20,10,70,10,90,30,1
Rakan,10,30,10,10,50,60,90,1
Udyr,10,10,90,60,30,50,70,1
Mordekaiser,10,10,90,60,30,50,70,1
Xayah,60,20,80,30,10,50,20,5
Kai'Sa,60,20,80,30,10,50,20,5
Cassiopeia,70,20,70,10,10,10,40,5
Vayne,50,40,80,20,30,50,10,8
Karma,30,80,10,30,30,80,30,2
Twitch,30,80,10,30,30,80,30,2
Tryndamere,50,10,70,10,10,20,20,5
Yasuo,30,10,90,10,60,20,70,1
Nautilus,40,10,90,20,10,50,80,9
Tahm Kench,40,20,20,60,20,90,30,2
Kog'Maw,40,20,90,10,10,20,10,6
Lulu,40,20,90,10,10,20,10,6
Alistar,10,40,10,20,30,70,20,3
Pantheon,20,20,10,90,30,60,40,1
Shen,10,10,30,70,20,70,40,1
Vel'Koz,10,10,30,70,20,70,40,1
Caitlyn,40,50,90,10,10,30,20,5
Jinx,40,50,90,10,10,30,20,5
Kha'Zix,30,30,80,10,10,20,20,3
Veigar,80,20,20,10,20,10,40,2
Nidalee,70,70,10,10,50,10,60,8
Bard,60,10,30,10,30,50,50,2
Draven,60,10,30,10,30,50,50,2
Miss Fortune,60,10,90,10,10,10,20,7
Xerath,50,80,40,10,10,20,20,3
Lee Sin,30,90,10,10,10,30,10,5
Rek'Sai,30,20,50,20,40,20,50,3
Ornn,30,20,50,20,40,20,50,3
Jhin,30,20,30,80,10,70,40,2
Zoe,60,40,50,10,10,30,10,6
Ekko,70,20,20,20,40,30,40,2
Elise,70,20,20,20,40,30,40,2
