Name,Burst,Poke,Basic Attacks,Tank,Sustain,Utility,Mobility,Difficulty
Irelia,50,10,65,40,10,60,60,9
Udyr,10,10,60,60,30,50,70,1
Pyke,40,10,40,10,50,50,40,5
Tryndamere,30,10,90,10,60,20,70,1
Yasuo,40,10,90,20,10,50,80,9
Singed,10,10,10,70,70,30,50,1
Rakan,10,30,10,10,50,60,90,1
Camille,40,20,60,40,20,60,50,3
Aphelios,20,50,90,30,50,70,10,9
Ashe,10,50,60,10,10,60,10,2
Shen,10,10,30,70,20,70,40,1
Draven,60,10,90,10,10,10,20,7
Senna,20,70,70,20,40,60,10,6
Lee Sin,70,10,50,30,10,20,50,9
Skarner,10,10,50,80,20,50,50,1
Karma,30,80,10,30,30,80,30,2
Xayah,60,20,80,30,10,50,20,5
Ezreal,40,60,70,10,10,10,70,5
Graves,50,20,70,10,10,20,30,5
Aatrox,30,20,50,20,50,40,30,3
Nunu,50,10,10,70,70,50,40,1
Poppy,20,10,30,90,10,70,30,1
Ornn,30,20,30,80,10,70,40,2
Yuumi,10,40,10,10,70,60,80,2
Master Yi,10,10,80,10,40,10,70,1
Vayne,50,10,70,10,10,20,50,6
Jinx,30,30,80,10,10,20,20,3
Fiora,20,10,50,20,30,20,40,3
Ivern,10,20,20,20,10,80,20,3
Bard,60,10,30,10,30,50,50,2
Zac,10,10,10,40,60,40,80,1
Nautilus,40,20,20,60,20,90,30,2
Sett,30,10,50,60,10,70,30,2
Riven,50,10,70,15,10,60,80,6
Caitlyn,40,50,90,10,10,30,20,5
Kennen,40,30,40,10,10,30,40,3
Nocturne,40,20,50,20,10,30,30,1
Akali,80,20,50,10,20,10,70,8
Ahri,70,60,10,10,40,20,60,4
Ryze,70,50,70,30,20,60,30,8
Zilean,50,70,10,10,10,60,30,3
Rek'Sai,30,20,50,20,40,20,50,3
Braum,10,20,10,70,10,90,30,1
Mordekaiser,30,30,30,50,50,40,10,2
Sylas,60,40,20,20,40,20,30,5
Alistar,20,20,10,90,30,60,40,1
Leona,10,10,20,80,20,90,20,1
Jarvan IV,30,20,50,30,10,40,40,3
Thresh,20,10,20,40,20,70,20,7
