Role,Player name,Rank,Win rate(%),Wins / losses
Mid,BottleCaps,Platinum II - 90 LP,67.5,158 / 76
Mid,Mid Lane Bot,Platinum IV - 16 LP,67.0,65 / 32
Top,Dumbass,Platinum III - 2 LP,63.0,172 / 101
Top,Moleman,Platinum III - 6 LP,62.6,107 / 64
Support,Nymph,Platinum IV - 63 LP,62.4,133 / 80
Jungle,Jinxnator,Platinum IV - 40 LP,62.4,83 / 50
Jungle,Superb,Platinum IV - 38 LP,61.8,102 / 63
Top,Amouranth,Platinum III - 17 LP,61.4,148 / 93
Support,JhinSuppNoTroll,Platinum III - 26 LP,61.0,114 / 73
Support,Your,Platinum IV - 72 LP,61.0,97 / 62
Support,Kapp Wampie,Platinum IV - 57 LP,60.6,77 / 50
Mid,AlfredSmith,Platinum IV - 54 LP,60.6,149 / 97
Support,Straitéis,Platinum IV - 19 LP,60.5,112 / 73
Top,HAHAHAHAHAHAXD,Platinum IV - 82 LP,60.2,153 / 101
Mid,Caps,Platinum III - 85 LP,60.1,152 / 101
Top,xxaznpuppy32xx,Platinum II - 15 LP,59.5,160 / 109
Jungle,jekedeke,Platinum III - 14 LP,59.3,115 / 79
Top,Plankuaa,Platinum IV - 45 LP,59.0,72 / 50
Top,thegamingzebra,Platinum III - 4 LP,58.5,121 / 86
Support,Hisher,Platinum IV - 46 LP,58.4,135 / 96
ADC,TES Jackeylove,Platinum IV - 46 LP,58.1,100 / 72
Mid,Tap,Platinum III - 73 LP,57.9,136 / 99
Support,Kutcher,Platinum IV - 53 LP,57.8,130 / 95
Jungle,Sparrow,Platinum III - 47 LP,57.6,144 / 106
Mid,Galio,Platinum IV - 50 LP,57.4,109 / 81
Top,Copyright,Platinum IV - 66 LP,57.2,131 / 98
Support,Rookie,Platinum III - 8 LP,56.8,138 / 105
Top,Raleigh Obelisk,Platinum III - 85 LP,56.6,138 / 106
Jungle,110110010011,Platinum IV - 33 LP,56.6,98 / 75
Top,MrBochka,Platinum IV - 45 LP,56.4,137 / 106
Support,Redman,Platinum IV - 84 LP,56.2,158 / 123
Top,SS Flandre,Platinum IV - 28 LP,55.9,133 / 105
Top,Agent Boris,Platinum III - 20 LP,55.8,135 / 107
ADC,F,Platinum IV - 55 LP,55.7,146 / 116
Support,RNG Ming,Platinum IV - 11 LP,55.7,136 / 108
ADC,Boop,Platinum IV - 95 LP,55.5,117 / 94
Support,owl city,Platinum IV - 58 LP,55.5,147 / 118
Mid,WoO0oW,Platinum IV - 81 LP,55.1,130 / 106
ADC,RNG Uzi,Platinum IV - 42 LP,55.1,125 / 102
Top,TheBausSpecial,Platinum III - 46 LP,54.9,139 / 114
ADC,Pokimane,Platinum IV - 25 LP,54.9,129 / 106
Top,MJay,Platinum IV - 13 LP,54.9,128 / 105
Top,Pepega,Platinum III - 0 LP,54.8,109 / 90
Jungle,funnel is dead,Platinum IV - 30 LP,54.8,121 / 100
Top,Salsa,Platinum IV - 21 LP,54.8,68 / 56
Top,ShyBehemoth,Platinum IV - 22 LP,54.7,76 / 63
Jungle,Poppey,Platinum III - 25 LP,54.5,109 / 91
Mid,creative mind,Platinum IV - 26 LP,54.4,147 / 123
ADC,Carvemm,Platinum IV - 80 LP,54.2,123 / 104
Top,Broken Blade,Platinum IV - 74 LP,54.2,116 / 98
Mid,Anomaly ,Platinum IV - 18 LP,54.1,125 / 106
Top,RNG Letme,Platinum IV - 68 LP,54.0,108 / 92
Jungle,Layla,Platinum IV - 20 LP,53.9,103 / 88
Jungle,EG Voutocu,Platinum IV - 46 LP,53.8,134 / 115
ADC,Kogglemoggle,Platinum IV - 55 LP,53.7,139 / 120
Top,Randomsmeker1234,Platinum IV - 28 LP,53.7,130 / 112
Mid,eren yeager,Platinum IV - 18 LP,53.6,111 / 96
Top,Top,Platinum IV - 44 LP,53.5,83 / 72
Support,Xpecial,Platinum IV - 47 LP,52.8,123 / 110
ADC,No CS,Platinum IV - 27 LP,52.8,132 / 118
Mid,IG Rookie,Platinum IV - 70 LP,52.6,140 / 126
Mid,DOINB RYZE HACK,Platinum IV - 28 LP,52.6,123 / 111
Mid,I like trains,Platinum IV - 50 LP,52.3,101 / 92
Jungle,JUGKlNG,Platinum IV - 61 LP,52.2,97 / 89
ADC,TheLegend,Platinum IV - 64 LP,52.1,99 / 91
Jungle,TarzanFaker,Platinum III - 54 LP,52.0,131 / 121
ADC,Sinon,Platinum III - 6 LP,52.0,118 / 109
Mid,Bye Bye Driver,Platinum IV - 31 LP,52.0,92 / 85
Support,Lambo Bambo,Platinum IV - 39 LP,51.9,137 / 127
Jungle,420~truaznkity,Platinum IV - 34 LP,51.8,127 / 118
Jungle,Kazuma,Platinum III - 23 LP,51.7,109 / 102
Support,TDA Bloxx,Platinum IV - 33 LP,51.7,136 / 127
ADC,Bait,Platinum IV - 13 LP,51.7,136 / 127
Jungle,Kasanova,Platinum IV - 70 LP,51.6,127 / 119
Support,FPX Crisp,Platinum IV - 44 LP,51.6,82 / 77
Support,PepeLove,Platinum IV - 66 LP,51.5,101 / 95
ADC,Perkz,Platinum IV - 30 LP,51.3,138 / 131
ADC,sola,Platinum IV - 25 LP,51.3,115 / 109
ADC,Kanashimi Clown,Platinum IV - 52 LP,51.1,139 / 133
Top,Rafitxos,Platinum IV - 16 LP,51.1,116 / 111
Support,iEnygma,Platinum IV - 34 LP,51.0,132 / 127
Top,Kritz,Platinum IV - 16 LP,51.0,107 / 103
Mid,NULL,Platinum IV - 51 LP,50.8,125 / 121
Jungle,EDG Clearlove7,Platinum IV - 29 LP,50.8,134 / 130
ADC,mind,Platinum IV - 22 LP,50.8,124 / 120
Top,Fran5,Platinum IV - 12 LP,50.5,94 / 92
Support,d0gg0,Platinum III - 9 LP,50.2,125 / 124
Jungle,PepeHands,Platinum IV - 19 LP,50.2,108 / 107
Jungle,420,Platinum IV - 12 LP,50.0,99 / 99
ADC,TPOPIS,Platinum IV - 48 LP,49.0,123 / 128
ADC,Klojjr,Platinum IV - 21 LP,48.9,92 / 96
Support,Rashid,Platinum IV - 23 LP,48.8,124 / 130
Support,Kutchcrafter,Platinum IV - 21 LP,48.8,117 / 123
Support,225,Platinum IV - 16 LP,48.8,118 / 124
Jungle,Zevton,Platinum IV - 13 LP,48.8,118 / 124
Top,1adrianaries1,Platinum IV - 66 LP,48.5,114 / 121
Mid,Byumbert,Platinum IV - 34 LP,48.1,136 / 147
Mid,Megumin,Platinum IV - 15 LP,46.7,106 / 121
Mid,100 Soligo,Platinum IV - 24 LP,46.5,113 / 130
Mid,Chaos,Platinum IV - 45 LP,44.7,102 / 126
