Role,Player name,Rank,Win rate(%),Wins / losses
Mid,BottleCaps,Platinum III - 62 LP,66.8,123 / 61
Jungle,Kong,Gold I - 40 LP,66.2,51 / 26
Top,DoinB,Platinum IV - 56 LP,65.4,125 / 66
Top,Dumbass,Platinum III - 33 LP,65.0,154 / 83
Jungle,Superb,Platinum IV - 30 LP,64.2,79 / 44
Support,Nymph,Platinum IV - 45 LP,63.8,111 / 63
Mid,AlfredSmith,Platinum III - 10 LP,62.3,132 / 80
Top,Moleman,Platinum IV - 19 LP,61.8,76 / 47
Jungle,Jinxnator,Gold I - 57 LP,61.8,55 / 34
Support,Straitéis,Platinum IV - 10 LP,61.5,88 / 55
Jungle,Luv Email,Platinum III - 2 LP,60.8,87 / 56
Top,Amouranth,Platinum IV - 56 LP,60.6,123 / 80
Top,Metallkopf,Platinum IV - 53 LP,60.2,80 / 53
Top,Malakkar,Platinum IV - 22 LP,60.1,92 / 61
Top,HAHAHAHAHAHAXD,Gold I - 89 LP,59.9,124 / 83
Support,JhinSuppNoTroll,Platinum IV - 10 LP,59.7,80 / 54
Jungle,jekedeke,Platinum IV - 20 LP,59.0,95 / 66
Mid,Caps,Platinum III - 22 LP,58.9,126 / 88
Jungle,TheWoods,Gold I - 97 LP,58.8,107 / 75
Support,Hisher,Gold I - 96 LP,58.8,107 / 75
Support,owl city,Platinum IV - 35 LP,57.5,127 / 94
Support,Kutcher,Platinum IV - 12 LP,57.2,107 / 80
Top,Copyright,Gold I - 94 LP,56.8,109 / 83
Mid,Galio,Gold I - 46 LP,56.8,79 / 60
Support,RNG Ming,Platinum IV - 47 LP,56.7,115 / 88
Top,L.Leg of Cauw,Gold I - 58 LP,56.7,85 / 65
Top,thegamingzebra,Platinum IV - 16 LP,56.5,96 / 74
Top,xxaznpuppy32xx,Platinum IV - 15 LP,56.5,130 / 100
Mid,Tap,Platinum IV - 55 LP,56.3,107 / 83
Top,SUPER TOP,Platinum IV - 33 LP,56.3,130 / 101
ADC,Pokimane,Platinum IV - 23 LP,56.3,112 / 87
Jungle,110110010011,Gold I - 54 LP,56.3,76 / 59
Mid,Arano,Platinum IV - 44 LP,56.1,125 / 98
Support,Rookie,Platinum IV - 78 LP,56.0,117 / 92
Support,Redman,Platinum IV - 69 LP,56.0,135 / 106
Top,SS Flandre,Platinum IV - 38 LP,55.9,109 / 86
Jungle,Layla,Gold I - 63 LP,55.9,85 / 67
Mid,creative mind,Platinum IV - 63 LP,55.8,120 / 95
ADC,argalon7997,Gold I - 59 LP,55.6,114 / 91
Support,AnosVold,Gold I - 46 LP,55.6,85 / 68
Top,Tierney,Gold I - 46 LP,55.6,75 / 60
Top,MrBochka,Platinum IV - 12 LP,55.5,116 / 93
ADC,lilcutiepaipee,Gold I - 79 LP,55.4,113 / 91
Top,Smug Egirl Owo,Platinum IV - 46 LP,55.3,114 / 92
Top,TDA Brokenrelic,Platinum III - 2 LP,55.2,107 / 87
Jungle,Exemplar,Gold I - 97 LP,54.9,90 / 74
Jungle,GG Bekhali,Gold I - 87 LP,54.7,98 / 81
Top,Raleigh Obelisk,Platinum IV - 80 LP,54.6,112 / 93
ADC,Japan,Gold I - 72 LP,54.6,89 / 74
Top,Randomsmeker1234,Platinum IV - 35 LP,54.5,115 / 96
Support,Aqua,Gold I - 58 LP,54.5,103 / 86
ADC,RNG Uzi,Gold I - 66 LP,54.4,105 / 88
ADC,F,Platinum IV - 10 LP,54.3,125 / 105
Jungle,EnzoLeCoco,Platinum IV - 1 LP,54.3,119 / 100
Top,MJay,Gold I - 54 LP,54.2,104 / 88
Jungle,Sparrow,Gold I - 49 LP,54.2,110 / 93
ADC,Kogglemoggle,Platinum IV - 68 LP,54.1,120 / 102
Mid,WoO0oW,Platinum IV - 44 LP,54.1,111 / 94
ADC,T1 T1,Gold I - 58 LP,54.1,118 / 100
Jungle,Dontgank,Gold I - 40 LP,54.1,111 / 94
Mid,Anomaly ,Gold I - 90 LP,53.9,103 / 88
Mid,Arteros,Gold I - 77 LP,53.8,106 / 91
Top,Agent Boris,Gold I - 64 LP,53.7,108 / 93
Top,TheBausSpecial,Platinum IV - 36 LP,53.5,116 / 101
ADC,PvM,Platinum IV - 71 LP,53.2,101 / 89
Support,i love warding,Gold I - 46 LP,53.1,86 / 76
Jungle,chef,Gold I - 82 LP,52.9,110 / 98
ADC,Rikish,Gold I - 67 LP,52.9,111 / 99
Top,Darkness,Platinum IV - 21 LP,52.8,93 / 83
Top,allee,Gold I - 79 LP,52.6,101 / 91
Jungle,Neferpitou,Gold I - 67 LP,52.6,110 / 99
Jungle,EG Voutocu,Gold I - 98 LP,52.5,107 / 97
ADC,Kudor88888882141,Gold I - 73 LP,52.3,114 / 104
ADC,Bait,Gold I - 57 LP,52.3,116 / 106
ADC,mind,Gold I - 63 LP,52.1,100 / 92
Support,Xpecial,Gold I - 55 LP,52.1,99 / 91
ADC,Perkz,Platinum IV - 82 LP,52.0,119 / 110
ADC,No CS,Gold I - 59 LP,52.0,105 / 97
Mid,DOINB RYZE HACK,Gold I - 39 LP,51.8,102 / 95
Top,SmackyB,Gold I - 48 LP,51.6,112 / 105
Jungle,420,Gold I - 39 LP,51.6,80 / 75
Jungle,LIL PUMP ESKETIT,Platinum IV - 58 LP,51.5,117 / 110
Support,TDA Bloxx,Gold I - 44 LP,51.4,111 / 105
Jungle,L.Arm of Cauw,Gold I - 49 LP,51.3,80 / 76
Mid,IG Wh1t3zZ,Gold I - 61 LP,51.1,115 / 110
Jungle,PepeHands,Gold I - 66 LP,50.9,87 / 84
Mid,Bjergsen,Platinum IV - 5 LP,50.3,81 / 80
Mid,NULL,Platinum IV - 1 LP,50.2,105 / 104
Jungle,Kasanova,Platinum IV - 12 LP,49.8,101 / 102
ADC,sola,Gold I - 53 LP,49.7,94 / 95
Jungle,EDG Clearlove7,Platinum IV - 34 LP,49.5,107 / 109
ADC,XBOCT,Gold I - 57 LP,49.4,83 / 85
ADC,TPOPIS,Platinum IV - 7 LP,49.3,104 / 107
Mid,Loosius,Gold I - 69 LP,49.1,110 / 114
Support,Rashid,Gold I - 70 LP,48.8,106 / 111
Support,JANNA PLAYER :3,Gold I - 38 LP,48.2,92 / 99
Jungle,Kazuma,Platinum IV - 11 LP,48.0,83 / 90
Jungle,TarzanFaker,Gold I - 67 LP,47.9,92 / 100
Top,Sioux,Gold I - 96 LP,47.6,100 / 110
Support,Rexlator,Gold I - 87 LP,46.6,96 / 110
