Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Pyke,0,1,0,0,1,0,0,2,2318,1540
Bard,0,0,0,0,0,0,12,10,664,688
Aatrox,149,163,0,0,0,0,0,0,0,0
Karma,138,71,0,0,56,60,1,3,0,0
Zilean,227,89,0,0,127,79,45,35,14,30
Ryze,186,130,0,0,1,3,3,5,0,0
Renekton,1759,1509,0,0,177,149,0,0,42,29
Ekko,193,149,95,112,1154,1036,0,0,0,0
Galio,0,0,0,0,56,27,0,0,2,7
Vel'Koz,0,0,0,0,19,4,0,0,0,0
Ahri,47,28,0,0,1272,1173,870,782,0,0
Xerath,0,0,0,0,350,190,1,2,0,0
Cho'Gath,317,259,7,16,157,151,0,0,0,0
Pantheon,72,97,0,0,1,6,0,0,54,54
Karthus,53,19,63,86,706,501,2196,1628,0,0
Poppy,5,9,8,6,0,0,0,0,0,0
Dr. Mundo,419,390,0,0,0,0,3,2,0,0
Malphite,0,0,0,0,329,317,0,0,0,0
Gangplank,17,20,0,0,15,18,0,0,0,0
Zed,0,0,0,0,199,187,0,0,0,0
Aurelion Sol,0,0,0,0,4,6,0,0,0,0
Qiyana,0,0,35,44,2,1,0,0,0,0
Volibear,31,28,518,344,0,0,0,0,0,0
Nunu,0,0,2206,1575,0,0,0,0,74,39
Lillia,0,0,188,229,11,14,0,0,0,0
Leona,0,0,0,0,0,0,0,0,69,86
Sejuani,0,0,643,572,0,0,0,0,87,106
Miss Fortune,0,0,0,0,41,39,145,161,0,0
Sona,0,0,0,0,15,6,186,144,0,0
Kassadin,0,0,0,0,177,162,4,7,0,0
Rek'Sai,0,0,17,18,0,0,0,0,0,0
Udyr,0,0,234,148,0,0,0,0,0,0
Kled,51,48,0,0,0,0,0,0,0,0
Lucian,24,16,0,0,0,0,21,20,0,0
Jayce,301,254,0,0,3,1,0,0,0,0
Camille,10,17,0,0,0,0,0,0,0,0
Nautilus,0,0,927,731,0,0,0,0,141,149
Zac,0,0,327,241,0,0,0,0,0,0
Sett,60,52,84,62,0,1,0,0,38,44
Draven,0,0,0,0,0,0,25,22,0,0
Urgot,17,12,0,0,0,0,40,30,0,0
Yasuo,0,0,0,0,2,5,1,0,0,0
Aphelios,0,0,0,0,0,0,108,122,0,0
Caitlyn,0,0,0,0,0,0,171,116,0,0
Quinn,0,0,0,0,0,0,60,61,0,0
Varus,0,0,0,0,0,0,11,18,0,0
Rakan,8,15,144,94,0,0,0,0,198,261
Neeko,0,0,0,0,10,11,284,277,0,0
Hecarim,0,0,60,79,0,0,0,0,0,0
Garen,155,125,0,0,0,0,0,0,0,0
Twitch,2,5,0,0,0,0,20,21,0,0
Warwick,3,3,0,0,0,0,225,215,0,0
Jarvan IV,1,3,16,28,0,0,0,0,0,0
Blitzcrank,0,0,0,0,0,0,0,0,42,55
Katarina,0,0,0,0,25,40,0,0,0,0
Taric,0,0,1,3,0,0,3,9,29,36
Kog'Maw,0,0,0,0,0,0,108,127,0,0
Syndra,0,0,0,0,298,244,24,30,0,0
Zoe,0,0,0,0,29,48,4,7,0,0
Corki,0,0,0,0,7,6,0,0,0,0
Kai'Sa,0,0,0,0,0,0,641,623,0,0
Mordekaiser,0,0,0,0,0,0,32,45,0,0
Braum,0,0,0,0,0,0,0,0,81,90
Maokai,0,0,54,42,0,0,0,0,23,32
Rammus,0,0,133,115,0,0,0,0,26,22
Wukong,5,5,0,0,0,0,0,0,0,0
Ivern,0,0,166,141,0,0,0,0,0,0
Nidalee,0,0,10,12,1,0,0,0,0,0
Ashe,0,0,0,0,0,0,61,43,0,0
Alistar,0,0,0,0,0,0,0,0,74,92
Janna,0,0,0,0,0,0,0,0,3,12
Lissandra,0,0,0,0,2,9,0,0,0,0
Akali,191,183,0,0,462,461,0,0,0,0
Swain,33,27,0,0,0,0,2,8,7,11
Ezreal,0,0,0,0,134,102,67,84,0,0
Shen,32,52,5,5,0,0,0,0,0,0
Fiora,25,34,0,0,0,0,0,0,0,0
Vi,0,0,24,26,0,0,0,0,0,0
Riven,164,153,0,0,0,0,0,0,0,0
Kalista,3,3,0,0,0,0,0,0,0,0
Sylas,0,1,0,0,0,0,0,0,0,0
Irelia,301,223,0,0,0,0,0,0,0,0
Lee Sin,0,0,39,41,0,0,0,0,0,0
Teemo,293,224,0,0,0,0,0,0,0,0
Vladimir,1,0,0,0,0,0,0,0,0,0
Morgana,0,0,0,0,0,0,0,0,12,25
Gragas,0,0,0,0,29,42,0,0,7,11
Xayah,0,0,0,0,0,0,40,56,0,0
Vayne,0,0,0,0,0,0,141,134,0,0
Ornn,36,21,0,0,0,0,0,0,0,0
Illaoi,4,4,0,0,0,0,0,0,0,0
Skarner,0,0,114,105,0,0,0,0,0,0
Amumu,1,0,82,92,0,0,0,0,0,0
LeBlanc,0,0,0,0,28,35,13,17,0,0
Tristana,0,0,0,0,0,0,157,128,0,0
Brand,0,0,0,0,0,0,2,3,0,0
Jinx,0,0,0,0,0,0,5,5,0,0
Kindred,0,0,2,6,0,0,0,0,0,0
Talon,0,0,0,0,1,1,0,0,0,0
Darius,111,106,0,0,0,0,0,0,0,0
Master Yi,0,0,3,6,0,0,0,0,0,0
