Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Volibear,8,10,872,598,0,0,0,0,0,0
Nunu,0,0,2056,1438,0,0,0,0,68,36
Lillia,34,31,209,232,5,6,0,0,0,0
Zilean,179,79,0,0,123,71,45,35,3,4
Karthus,183,112,15,18,486,343,1897,1343,0,0
Renekton,1508,1099,0,0,192,170,0,0,37,28
Ahri,29,11,0,0,1471,1290,432,423,0,0
Poppy,9,15,8,8,0,0,0,0,18,20
Dr. Mundo,55,67,0,0,0,0,121,95,0,0
Pantheon,71,89,0,0,169,162,0,0,54,54
Ekko,344,271,116,131,772,671,0,0,0,0
Vel'Koz,0,0,0,0,16,3,0,0,0,0
Galio,29,58,0,0,122,61,0,0,0,0
Xerath,0,0,0,0,289,141,0,0,0,0
Cho'Gath,81,68,0,0,101,88,115,110,0,0
Pyke,0,0,0,0,1,0,0,0,2454,1634
Leona,0,0,0,0,0,0,0,0,100,97
Bard,0,0,0,0,0,0,0,0,703,793
Sejuani,0,0,468,429,0,0,0,0,129,148
Aatrox,149,159,0,0,0,0,0,0,0,0
Karma,139,72,0,0,28,28,1,3,0,0
Ryze,0,1,0,0,0,0,3,3,0,0
Miss Fortune,0,0,0,0,41,39,120,130,0,0
Kassadin,0,0,0,0,237,190,0,0,0,0
Sona,0,0,0,0,9,4,100,68,0,0
Rek'Sai,0,0,17,18,0,0,0,0,0,0
Udyr,0,0,295,208,0,0,0,0,0,0
Malphite,23,39,0,0,31,26,0,0,0,0
Gangplank,0,0,0,0,15,18,0,0,0,0
Zed,0,0,0,0,204,208,0,0,0,0
Aurelion Sol,0,0,0,0,3,3,0,0,0,0
Qiyana,0,0,31,40,2,1,0,0,0,0
Nautilus,18,20,1128,937,0,0,0,0,288,260
Zac,0,0,478,350,0,0,0,0,0,0
Kled,49,38,0,0,0,0,0,0,0,0
Lucian,22,15,0,0,0,0,19,18,0,0
Jayce,325,273,0,0,0,0,0,0,0,0
Camille,140,123,0,0,0,0,0,0,0,0
Draven,0,0,0,0,0,0,24,16,0,0
Urgot,0,0,0,0,0,0,5,3,0,0
Yasuo,0,0,0,0,0,0,1,0,0,0
Aphelios,0,0,0,0,0,0,79,92,0,0
Rakan,0,0,195,121,0,0,16,18,155,197
Hecarim,0,0,11,23,0,0,0,0,0,0
Garen,124,114,0,0,0,0,0,0,0,0
Twitch,2,5,0,0,0,0,0,3,0,0
Warwick,3,3,0,0,0,0,207,199,0,0
Jarvan IV,0,3,2,10,0,0,0,0,0,0
Blitzcrank,0,0,0,0,0,0,0,0,334,346
Neeko,0,0,0,0,117,127,195,153,0,0
Maokai,13,21,87,83,0,0,0,0,74,89
Shen,263,223,9,11,0,0,0,0,17,18
Kai'Sa,0,0,0,0,0,0,395,368,0,0
Xayah,0,0,0,0,0,0,27,40,0,0
Vayne,0,0,0,0,0,0,121,105,0,0
Ezreal,0,0,0,0,0,0,40,55,0,0
Ivern,0,0,134,143,0,0,0,0,0,0
Sett,71,73,95,75,0,0,0,0,1,1
Caitlyn,0,0,0,0,0,0,208,149,0,0
Quinn,0,0,0,0,0,0,56,61,0,0
Varus,0,0,0,0,0,0,20,27,0,0
Lissandra,0,0,0,0,1,8,0,0,0,0
Akali,72,56,0,0,252,230,0,0,0,0
Rammus,0,0,95,89,0,0,0,0,24,21
Talon,0,0,0,0,194,203,0,0,0,0
Alistar,0,0,0,0,0,0,0,0,19,25
Katarina,0,0,0,0,24,37,0,0,0,0
Taric,0,0,1,1,0,0,0,0,28,32
Kog'Maw,0,0,0,0,0,0,23,33,0,0
Shyvana,0,0,0,0,0,0,4,4,0,0
Mordekaiser,0,0,0,0,0,0,79,78,0,0
Lee Sin,0,0,59,68,0,0,0,0,0,0
Olaf,0,0,13,17,0,0,0,0,0,0
Riven,90,83,0,0,0,0,0,0,0,0
Kalista,3,3,0,0,0,0,1,3,0,0
Sylas,0,1,0,0,0,0,0,0,0,0
Kha'Zix,0,0,11,14,0,0,0,0,0,0
Swain,57,75,0,0,0,0,0,0,0,0
Singed,10,5,0,0,0,0,0,0,0,0
Teemo,276,209,0,0,0,0,0,0,0,0
Vladimir,1,0,0,0,0,0,0,0,0,0
LeBlanc,0,0,0,0,62,61,7,8,0,0
Zoe,0,0,0,0,1,0,14,12,0,0
Tristana,0,0,0,0,0,0,151,132,0,0
Amumu,0,0,74,86,0,0,0,0,0,0
Ashe,0,0,0,0,0,0,61,45,0,0
Fizz,0,0,0,0,11,9,0,0,0,0
Wukong,0,0,0,0,3,4,0,0,0,0
Thresh,0,0,0,0,0,0,0,0,21,29
Ornn,132,135,0,0,0,0,0,0,0,0
Jax,3,4,0,0,0,0,0,0,0,0
Nasus,1,0,0,0,0,0,0,0,0,0
Vi,0,0,24,26,0,0,0,0,0,0
Irelia,3,5,0,0,0,0,0,0,0,0
Illaoi,0,1,0,0,0,0,0,0,0,0
Syndra,0,0,0,0,31,35,0,0,0,0
Braum,0,0,0,0,0,0,0,0,55,59
Gragas,0,0,0,0,24,35,0,0,0,0
Nidalee,0,0,0,0,1,0,0,0,0,0
Janna,0,0,0,0,0,0,0,0,0,4
