Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Singed,3,2,0,0,0,0,360,288,0,0
Karthus,0,0,37,46,1259,903,3145,2344,0,0
Senna,0,0,0,0,0,0,41,39,0,0
Braum,0,0,0,0,0,0,47,43,107,142
Rakan,8,15,288,200,0,0,0,2,227,312
Ornn,964,804,0,0,0,0,0,0,0,0
Shen,254,207,7,11,0,0,0,0,45,52
Renekton,3028,2330,0,0,566,461,0,0,81,57
Nunu,0,0,5337,3784,0,0,0,0,159,92
Volibear,6,11,2200,1744,0,0,0,0,9,14
Nautilus,0,0,2570,2099,0,1,0,0,767,661
Udyr,0,0,594,427,0,0,0,0,0,0
Zac,0,0,360,252,0,0,0,0,0,0
Pyke,0,0,3,4,1,0,23,29,4875,3033
Leona,0,0,0,0,0,0,0,0,149,193
Bard,0,0,0,0,0,0,0,0,1496,1613
Sejuani,0,0,969,722,0,0,0,0,183,222
Lillia,18,26,243,253,164,166,0,0,0,0
Ivern,0,0,220,205,0,0,0,0,0,0
Sett,120,103,0,0,0,0,41,34,111,136
Pantheon,160,175,0,0,17,24,0,0,82,102
Zilean,122,75,0,0,100,90,0,0,106,165
Teemo,544,423,0,0,0,0,0,0,0,0
Vladimir,1,0,0,0,147,153,23,35,0,0
Blitzcrank,0,0,0,0,0,0,0,0,169,215
Rek'Sai,0,0,298,249,0,0,0,0,0,0
Jax,0,0,8,11,0,0,0,0,0,0
Alistar,545,454,30,38,0,0,0,0,250,255
Janna,0,0,0,0,0,0,0,0,9,22
Galio,0,0,0,0,361,279,0,0,28,49
Xerath,0,0,0,0,546,352,27,20,0,0
Malphite,0,0,0,0,515,602,0,0,0,0
Karma,142,78,0,0,42,41,1,3,0,0
Gangplank,0,0,0,0,15,18,0,0,0,0
Ahri,1,3,0,0,1983,1784,739,689,0,0
Zed,0,0,0,0,206,225,0,0,0,0
Aurelion Sol,0,0,0,0,3,3,0,0,0,0
Qiyana,0,0,0,0,3,4,0,0,0,0
Maokai,0,0,174,159,0,0,0,0,90,109
Rammus,0,0,0,0,0,0,232,219,54,52
Taric,0,0,1,3,0,0,0,0,32,36
Hecarim,0,0,11,23,0,0,0,0,0,0
Sona,0,0,0,0,0,0,194,169,0,0
Neeko,1,3,0,0,552,482,344,296,0,0
Aphelios,0,0,0,0,0,0,79,116,0,0
Dr. Mundo,330,284,0,0,0,0,108,109,0,0
Ekko,300,223,224,207,1853,1614,114,109,0,0
Gragas,0,0,0,0,25,25,0,0,71,91
Cho'Gath,98,87,0,0,368,290,0,0,9,10
Poppy,457,481,2,4,0,0,0,0,30,32
Kassadin,12,10,0,0,1268,1139,0,0,0,0
Syndra,0,0,0,0,34,41,0,0,0,0
Zoe,0,0,0,0,46,55,0,0,0,0
Yuumi,0,1,0,0,0,0,0,0,0,0
Thresh,0,0,0,0,0,0,0,0,226,208
Irelia,391,323,0,0,0,0,0,0,0,0
Fiora,15,18,0,0,0,0,0,0,0,0
Vel'Koz,0,0,0,0,20,4,0,0,0,0
Mordekaiser,0,0,0,0,0,0,136,132,0,0
Diana,0,0,0,0,32,35,0,0,0,0
Xin Zhao,0,0,0,1,0,0,0,0,0,0
Taliyah,0,0,0,0,175,164,0,0,0,0
LeBlanc,0,0,0,0,212,167,0,0,0,0
Aatrox,150,163,0,0,0,0,0,0,0,0
Evelynn,0,0,67,70,0,0,0,0,0,0
Lee Sin,0,0,3,8,0,0,0,0,0,0
Warwick,3,3,2,7,0,0,0,0,0,0
Amumu,0,0,3,5,0,0,0,0,0,0
Kha'Zix,0,0,11,17,0,0,0,0,0,0
Talon,0,0,0,0,20,13,0,0,0,0
Kai'Sa,0,0,0,0,0,0,632,613,0,0
Varus,0,0,0,0,0,0,45,43,0,0
Xayah,0,0,0,0,0,0,59,74,0,0
Ashe,0,0,0,0,0,0,34,34,0,0
Caitlyn,0,0,0,0,0,0,53,71,0,0
Ezreal,0,0,0,0,169,130,84,121,0,0
Miss Fortune,0,0,0,0,0,0,247,273,0,0
Twitch,2,5,0,0,0,0,15,25,0,0
Garen,152,122,0,0,0,0,0,0,0,0
Kled,2,5,0,0,0,0,0,0,0,0
Wukong,109,133,32,39,101,93,0,0,0,0
Ryze,0,3,0,0,0,0,0,0,0,0
Katarina,0,0,0,0,631,677,0,0,0,0
Urgot,0,0,0,0,0,0,104,92,0,0
Vayne,0,0,0,0,0,3,77,96,0,0
Akali,232,223,0,0,683,668,0,0,0,0
Jayce,0,0,0,0,4,1,0,0,0,0
Swain,110,141,0,0,163,140,0,0,0,0
Camille,42,57,0,0,0,0,0,0,0,0
Kalista,0,0,0,0,0,0,58,63,0,0
Soraka,0,0,0,0,0,0,21,32,0,0
Tristana,0,0,0,0,0,5,15,28,0,0
Draven,0,0,0,0,0,0,8,17,0,0
Nidalee,29,17,0,0,0,0,0,0,0,0
Cassiopeia,0,0,0,0,82,88,0,0,0,0
Riven,0,0,0,0,49,53,0,0,0,0
Lissandra,0,0,0,0,14,11,0,0,0,0
Azir,0,0,0,0,12,8,0,0,0,0
Brand,0,0,0,0,0,0,23,21,0,0
Quinn,14,19,0,0,0,0,28,29,0,0
Vi,0,0,56,54,0,0,0,0,0,0
Lulu,0,0,0,0,0,0,0,0,0,1
Jarvan IV,0,0,0,2,0,0,0,0,0,0
Fizz,0,0,0,0,27,23,0,0,0,0
Corki,0,0,0,0,4,6,0,0,0,0
Yasuo,0,0,0,0,534,478,0,0,0,0
Jinx,0,0,0,0,0,0,1,0,0,0
