Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Singed,2,3,0,0,0,0,422,335,0,0
Karthus,78,47,117,114,757,528,3360,2483,0,0
Senna,0,0,0,0,0,0,41,39,0,0
Braum,0,0,0,0,0,0,53,52,112,166
Rakan,8,15,185,126,0,0,0,2,365,496
Pyke,0,1,67,68,22,32,23,29,5797,3800
Sejuani,0,0,1911,1667,0,0,0,0,130,148
Volibear,32,14,1905,1535,0,0,0,0,11,21
Sett,673,533,0,0,0,0,36,29,96,98
Pantheon,11,18,0,0,1,8,16,17,148,186
Zilean,598,389,0,0,20,19,0,0,90,141
Nunu,0,0,6096,4442,0,0,0,0,240,181
Renekton,3827,2936,0,0,469,373,148,117,84,58
Blitzcrank,0,0,0,0,0,0,0,0,489,531
Bard,0,0,0,0,0,0,0,0,2081,2124
Caitlyn,0,0,0,0,0,0,667,540,0,0
Kai'Sa,0,0,0,0,0,0,604,585,0,0
Aphelios,0,0,0,0,0,0,295,343,0,0
Karma,144,80,0,0,42,41,66,33,63,71
Ezreal,0,4,0,0,185,170,325,340,0,0
Ashe,0,0,0,0,0,0,139,102,0,0
Neeko,0,0,0,0,0,0,554,525,157,150
Varus,0,0,0,0,0,0,16,27,0,0
Syndra,0,0,0,0,11,18,7,7,0,0
Lillia,12,19,277,302,25,24,0,0,0,0
Ivern,0,0,242,227,0,0,0,0,0,0
Udyr,0,0,639,479,0,0,0,0,0,0
Ahri,50,38,0,0,2907,2548,1156,1024,0,0
Aatrox,174,178,0,0,0,0,0,0,0,0
Poppy,1066,1103,13,6,0,0,0,0,44,40
Dr. Mundo,22,38,0,0,0,0,544,464,0,0
Garen,235,197,0,0,0,0,0,0,0,0
Maokai,0,0,102,84,32,49,0,0,90,110
Rek'Sai,0,0,25,21,0,0,0,0,0,0
Jax,0,0,8,11,0,0,0,0,0,0
Nautilus,0,0,2704,2064,0,0,0,0,849,664
Zac,0,0,728,587,0,0,0,0,0,0
Teemo,590,448,0,0,0,0,0,0,0,0
Vladimir,3,5,0,0,25,32,4,7,0,0
Cho'Gath,122,110,0,0,858,633,136,120,21,22
Shyvana,0,0,0,0,0,0,4,4,0,0
Mordekaiser,1,0,0,0,114,103,819,825,0,0
Draven,0,0,0,0,0,0,48,62,0,0
Kalista,0,0,0,0,0,0,6,12,0,0
Swain,0,0,0,0,179,150,5,6,0,0
Tristana,0,0,0,0,0,0,28,46,0,0
Gragas,0,0,0,0,75,61,0,0,71,91
Janna,0,0,0,0,0,0,0,0,9,18
Leona,0,0,0,0,0,0,0,0,158,201
Graves,0,0,37,71,0,0,0,0,0,0
Xerath,0,0,0,0,336,173,35,36,0,0
Malphite,0,0,0,0,31,26,0,0,0,0
Gangplank,0,0,0,0,15,18,0,0,0,0
Zed,0,0,0,0,98,97,0,0,0,0
Aurelion Sol,0,0,0,0,3,3,0,0,0,0
Qiyana,0,0,0,0,2,1,0,0,0,0
Kassadin,0,0,0,0,447,354,0,0,0,0
Ekko,554,450,68,79,1000,882,0,0,0,0
Galio,0,0,0,0,126,125,110,100,2,7
Zoe,0,0,0,0,9,14,0,0,0,0
Alistar,608,502,30,38,0,0,0,0,133,172
Irelia,4,17,0,0,0,0,0,0,0,0
Fiora,16,18,0,0,0,0,0,0,0,0
Vi,0,0,203,194,0,0,0,0,0,0
Hecarim,0,0,11,23,0,0,0,0,0,0
Miss Fortune,0,0,0,0,0,0,269,305,0,0
Twitch,2,5,16,26,0,0,1,11,0,0
Shen,326,336,7,10,0,0,0,0,49,56
Quinn,0,0,0,0,0,0,60,62,0,0
Xin Zhao,0,0,0,1,0,0,0,0,0,0
Rammus,0,0,31,35,0,0,75,79,109,129
Sona,0,0,0,0,0,0,220,178,0,0
Kha'Zix,0,0,11,17,0,0,0,0,0,0
Ornn,450,433,0,0,0,0,0,0,0,0
Wukong,7,8,0,0,3,4,0,0,0,0
Ryze,413,348,0,0,0,0,0,0,0,0
Xayah,0,0,0,0,0,0,69,76,0,0
Camille,0,9,20,40,94,92,0,0,0,0
Sion,0,0,0,0,35,41,0,0,0,0
Yorick,0,0,0,0,0,0,154,151,0,0
Vayne,0,0,0,0,0,0,112,134,0,0
Skarner,0,0,142,113,0,0,0,0,0,0
Warwick,0,0,111,117,0,0,0,0,0,0
Taliyah,0,0,26,39,0,0,0,0,0,0
Soraka,0,0,0,0,0,0,0,0,61,73
Yuumi,80,60,0,0,0,0,0,0,25,30
Brand,0,0,0,0,0,0,31,30,0,0
Taric,0,0,1,3,0,0,0,0,28,32
Akali,0,0,0,0,265,292,0,0,0,0
Thresh,0,0,0,0,0,0,0,0,33,32
Jayce,11,1,0,0,4,1,0,0,0,0
Riven,558,499,0,0,0,0,0,0,0,0
Rumble,16,17,0,0,0,0,0,0,73,92
Kindred,0,0,11,22,0,0,0,0,0,0
Kled,92,81,0,0,0,0,0,0,0,0
Lucian,57,56,0,0,0,0,0,0,0,0
Jarvan IV,0,0,2,11,0,0,0,0,0,0
Katarina,0,0,0,0,58,77,0,0,0,0
Nidalee,0,0,161,153,0,0,0,0,0,0
Diana,0,0,0,0,114,125,0,0,0,0
Cassiopeia,0,0,0,0,1,0,0,0,0,0
LeBlanc,0,0,0,0,351,307,0,1,0,0
Fizz,0,0,0,0,66,65,0,0,0,0
Talon,0,0,0,0,191,172,0,0,0,0
Olaf,1,0,0,0,0,0,0,0,0,0
Kayle,1,1,0,0,0,0,0,0,0,0
Jhin,0,0,0,0,0,0,23,28,0,0
Corki,0,0,0,0,0,1,0,0,0,0
