Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Sejuani,0,0,2111,1697,0,0,0,0,473,411
Maokai,0,0,5708,4479,96,100,0,0,131,141
Poppy,0,0,968,722,0,0,0,0,568,514
Shen,0,0,865,644,0,0,0,0,723,667
Leona,0,0,1054,849,0,0,0,0,735,687
Nautilus,0,0,9909,7208,0,0,0,0,2544,2239
Qiyana,24,30,747,507,316,307,2,2,227,231
Evelynn,0,0,166,136,22,24,0,0,22,39
Rek'Sai,0,0,84,68,0,0,0,0,0,0
Kha'Zix,0,0,18,14,0,0,0,0,0,0
Rengar,0,0,241,223,0,0,0,0,769,834
Elise,0,0,3,7,0,0,0,0,0,0
Lee Sin,0,0,3,4,0,0,0,0,0,0
Ivern,0,0,6545,5361,0,0,0,0,0,0
Volibear,452,401,253,214,0,0,0,0,0,0
Twitch,0,0,0,0,0,0,881,776,0,0
Jinx,0,0,0,0,0,0,1104,930,0,0
Kog'Maw,0,0,0,0,0,0,3077,2703,0,0
Vayne,15,20,0,0,0,0,1782,1634,0,0
Yuumi,1622,1203,0,0,0,0,0,0,159,222
Ornn,922,773,0,0,0,0,0,0,116,98
Aatrox,236,183,0,0,679,582,0,0,0,0
Kled,201,181,0,0,0,0,0,0,0,0
Zac,0,0,43,42,0,0,0,0,0,0
Sett,459,428,403,378,0,0,4,4,2679,2272
Pyke,2,0,1196,746,2739,2014,0,0,13740,10427
Nunu,0,0,2395,1988,0,0,0,0,477,458
Senna,1612,1132,0,0,6231,4231,3328,2854,1272,1164
Cassiopeia,0,0,0,0,704,759,0,0,0,0
Ryze,960,918,0,0,672,577,114,101,0,0
Gangplank,0,0,0,0,302,256,0,0,0,0
Yone,1666,1484,0,0,164,131,130,95,0,0
Jarvan IV,519,501,2032,1671,354,371,0,0,6,14
Vi,0,0,584,378,0,0,0,0,0,0
Kennen,5,7,0,0,767,687,0,0,0,0
Orianna,0,0,0,0,309,269,0,0,0,0
Aurelion Sol,303,262,46,62,811,750,0,0,0,0
Nidalee,0,0,0,0,87,85,0,0,158,178
Riven,1144,1014,0,0,55,51,0,0,0,0
Udyr,0,0,463,412,0,0,0,0,0,0
Thresh,0,0,1480,1272,145,116,0,0,1205,1088
Galio,28,29,57,41,1320,1104,238,218,0,0
Rammus,0,0,818,793,0,0,0,0,0,0
Rumble,0,0,5,8,210,182,0,0,0,0
Quinn,0,0,10,18,0,0,0,0,0,0
Rakan,0,0,369,349,0,0,0,0,3688,3647
Morgana,0,0,0,0,0,0,0,0,90,132
Draven,0,0,0,0,268,217,7294,6303,0,0
Cho'Gath,777,738,0,0,166,198,1686,1553,0,0
Ezreal,0,0,0,0,133,119,1704,1484,285,247
Neeko,0,0,0,0,89,105,398,401,0,0
Ahri,0,0,0,0,269,284,253,255,0,0
Aphelios,0,0,0,0,0,0,2513,2340,0,0
Kayn,0,0,242,192,0,0,0,0,0,0
Lillia,151,175,693,639,459,393,0,0,0,0
