Name,Burst,Poke,Basic Attacks,Tank,Sustain,Utility,Mobility,Difficulty
Irelia,50,10,80,40,10,60,70,9
Pyke,40,10,40,10,50,50,40,5
Aphelios,20,50,90,30,50,70,10,9
Singed,10,10,10,70,70,30,50,1
Camille,40,20,60,40,20,60,50,3
Fiora,20,10,50,20,30,20,40,3
Udyr,10,10,90,60,30,50,70,1
Ezreal,40,60,70,10,10,10,70,5
Aatrox,30,20,50,20,50,40,30,3
Kennen,40,30,40,10,10,30,40,3
Senna,20,70,70,20,40,60,10,6
Rakan,10,30,10,10,50,60,90,1
Vayne,50,10,70,10,10,20,50,6
Bard,60,10,30,10,30,50,50,2
Skarner,10,10,50,90,20,50,50,1
Yuumi,10,40,10,10,70,60,80,2
Ivern,10,20,20,20,10,80,20,3
Yasuo,40,10,90,20,10,50,80,9
Mordekaiser,30,30,30,50,50,40,10,2
Ornn,30,20,30,80,10,70,40,2
Xayah,60,20,80,30,10,50,20,5
Thresh,20,10,20,40,20,70,20,7
Shen,10,10,30,70,20,70,40,1
Nasus,20,20,40,70,50,30,20,1
Braum,10,20,10,70,10,90,30,1
Twitch,50,10,70,10,10,20,20,5
Azir,50,20,50,20,10,20,40,7
Kai'Sa,70,20,70,10,10,10,40,5
Sion,50,40,50,60,10,50,20,1
Nunu,50,10,10,70,70,50,40,1
Tryndamere,30,10,90,10,60,20,70,1
Veigar,70,30,10,10,10,30,10,2
Tahm Kench,20,20,20,80,20,40,30,2
Lulu,10,40,10,20,30,70,20,3
Alistar,20,20,10,90,30,60,40,1
Caitlyn,40,50,90,10,10,30,20,5
Cassiopeia,50,40,80,20,30,50,10,8
Nautilus,40,20,20,60,20,90,30,2
Sejuani,40,10,20,80,20,70,30,2
Ryze,70,50,70,30,20,60,30,8
Pantheon,50,40,50,60,10,30,30,4
Syndra,70,60,10,10,10,20,10,2
Olaf,20,50,60,50,40,30,20,3
Lee Sin,70,10,50,30,10,20,50,9
Draven,60,10,90,10,10,10,20,7
Sett,30,10,50,60,10,70,30,2
Orianna,60,60,10,20,10,30,20,3
Xerath,30,90,10,10,10,30,10,5
Karma,30,80,10,30,30,80,30,2
Zac,10,10,10,40,60,40,80,1
Kog'Maw,40,20,90,10,10,20,10,6
Sylas,60,40,20,20,40,20,30,5
Master Yi,10,10,80,10,40,10,70,1
Akali,80,20,50,10,20,10,70,8
Ahri,70,60,10,10,40,20,60,4
Rek'Sai,30,20,50,20,40,20,50,3
Jhin,60,40,50,10,10,30,10,6
Jinx,30,30,80,10,10,20,20,3
Zed,50,30,50,10,10,10,50,6
Graves,50,20,70,10,10,20,30,5
Poppy,20,10,30,90,10,70,30,1
Jarvan IV,30,20,50,30,10,40,40,3
Kled,10,10,60,60,10,40,30,1
Leona,10,10,20,80,20,90,20,1
Ashe,10,50,60,10,10,60,10,2
Ekko,70,20,20,20,40,30,40,2
Qiyana,60,20,40,10,10,70,60,6
Zoe,80,30,10,10,10,20,20,6
Kha'Zix,80,20,20,10,20,10,40,2
Lucian,60,20,80,10,10,10,50,6
Anivia,40,60,10,20,10,50,10,2
Galio,20,60,20,60,10,60,30,2
Blitzcrank,30,10,10,50,10,30,20,2
Annie,70,40,10,20,10,30,10,1
Katarina,70,40,20,10,20,10,70,5
Teemo,50,50,30,20,10,20,20,1
Varus,40,50,70,10,10,30,10,5
Nocturne,40,20,50,20,10,30,30,1
Volibear,40,10,40,40,50,50,40,2
Hecarim,20,10,50,50,20,40,60,5
LeBlanc,60,60,10,10,10,20,70,4
Evelynn,90,10,10,10,30,20,40,3
Karthus,60,80,10,30,10,20,10,1
Janna,10,50,10,20,50,90,50,3
Amumu,40,10,10,80,20,70,20,1
Morgana,50,50,10,20,30,80,20,5
Jax,30,10,70,40,10,50,20,2
Elise,70,10,20,10,40,30,20,4
Maokai,20,10,10,70,40,80,10,2
Nidalee,70,70,10,10,50,10,60,8
Cho'Gath,50,20,20,60,40,40,10,2
Rengar,80,10,50,10,30,40,40,6
Miss Fortune,50,80,40,10,10,20,20,3
Riven,50,10,70,40,10,60,80,6
Twisted Fate,10,50,20,10,10,50,10,6
Trundle,10,10,60,60,40,40,40,2
Darius,30,10,60,40,50,20,10,2
Wukong,60,10,50,20,10,30,30,2
Soraka,10,40,10,10,90,30,20,2
Zilean,50,70,10,10,10,60,30,3
Kassadin,70,30,10,30,10,20,60,3
Dr. Mundo,30,40,40,80,60,20,10,1
Malphite,60,60,10,70,10,50,20,1
Tristana,60,10,70,10,10,30,30,2
Taric,10,10,20,50,40,80,10,3
Kindred,50,10,60,10,30,20,50,6
Vladimir,40,20,10,20,80,20,20,1
Neeko,60,60,60,10,10,50,30,4
Fiddlesticks,30,50,10,10,50,60,20,1
Talon,80,20,30,10,10,10,80,4
Gnar,20,20,50,50,10,20,30,2
Nami,20,50,20,10,60,50,20,5
Sivir,20,40,70,10,10,20,30,5
Gragas,60,40,10,50,30,30,20,4
Xin Zhao,20,10,70,30,50,20,20,2
Kayle,10,40,30,10,40,50,10,5
Renekton,50,10,40,50,40,30,30,2
Vel'Koz,70,70,10,10,10,30,10,7
Ziggs,30,60,60,10,10,20,20,4
Gangplank,40,40,50,10,30,20,10,5
Shaco,60,20,50,10,10,30,30,4
Warwick,10,10,40,50,70,50,50,1
Viktor,50,50,20,20,10,20,20,5
Fizz,70,10,20,10,10,20,80,4
Sona,30,70,10,10,60,40,30,2
Kalista,20,20,40,10,10,40,70,7
Rammus,10,10,20,90,10,50,50,1
Illaoi,50,60,40,60,50,20,10,1
Corki,40,50,60,10,10,20,40,5
Taliyah,80,50,10,10,10,40,30,7
Aurelion Sol,40,30,60,20,10,60,30,9
Zyra,60,60,10,10,10,50,10,2
Malzahar,20,50,10,30,10,30,10,2
Jayce,60,60,60,10,10,20,20,6
Lissandra,30,60,10,20,20,60,30,3
Rumble,40,50,50,20,10,30,10,1
Swain,40,50,50,30,60,30,20,3
Diana,70,20,50,20,10,10,50,3
Quinn,60,20,50,10,10,30,60,4
Shyvana,70,30,70,50,20,10,20,3
Lux,30,60,10,10,20,40,10,4
Yorick,20,40,50,50,20,30,10,2
Vi,20,10,50,30,10,60,50,2
Heimerdinger,60,40,60,10,10,20,10,6
Garen,40,10,60,70,40,20,20,1
Brand,50,70,10,10,10,20,10,1
Urgot,20,50,50,50,10,30,20,2
