Name,Burst,Poke,Basic Attacks,Tank,Sustain,Utility,Mobility,Difficulty
Pyke,40,10,40,10,50,50,40,5
Irelia,50,10,65,40,10,60,70,9
Singed,10,10,10,70,70,30,50,1
Udyr,10,10,90,60,30,50,70,1
Camille,40,20,60,40,20,60,50,3
Aphelios,20,50,90,30,50,70,10,9
Tryndamere,30,10,90,10,60,20,70,1
Ezreal,40,60,70,10,10,10,70,5
Senna,20,70,70,20,40,60,10,6
Nunu,50,10,10,70,70,50,40,1
Fiora,20,10,50,20,30,20,40,3
Jinx,30,30,80,10,10,20,20,3
Skarner,10,10,50,90,20,50,50,1
Shen,10,10,30,70,20,70,40,1
Rakan,10,30,10,10,50,60,90,1
Vayne,50,10,70,10,10,20,50,6
Aatrox,30,20,50,20,50,40,30,3
Ashe,10,50,60,10,10,60,10,2
Yasuo,40,10,90,20,10,50,80,9
Yuumi,10,40,10,10,70,60,80,2
Ornn,30,20,30,80,10,70,40,2
Ivern,10,20,20,20,10,80,20,3
Kennen,40,30,40,10,10,30,40,3
Master Yi,10,10,80,10,40,10,70,1
Braum,10,20,10,70,10,90,30,1
Bard,60,10,30,10,30,50,50,2
Draven,60,10,90,10,10,10,20,7
Nautilus,40,20,20,60,20,90,30,2
Lee Sin,70,10,50,30,10,20,50,9
Lulu,10,40,10,20,30,70,20,3
Pantheon,50,40,50,60,10,30,30,4
Xayah,60,20,80,30,10,50,20,5
Kai'Sa,70,20,70,10,10,10,40,5
Thresh,20,10,20,40,20,70,20,7
Mordekaiser,30,30,30,50,50,40,10,2
Graves,50,20,70,10,10,20,30,5
Sejuani,40,10,20,80,20,70,30,2
Alistar,20,20,10,90,30,60,40,1
Kog'Maw,40,20,90,10,10,20,10,6
Nasus,20,20,40,70,50,30,20,1
Azir,50,20,50,20,10,20,40,7
Akali,80,20,50,10,20,10,70,8
Sett,30,10,50,60,10,70,30,2
Riven,50,10,70,40,10,60,80,6
Caitlyn,40,50,90,10,10,30,20,5
Syndra,70,60,10,10,10,20,10,2
Veigar,70,30,10,10,10,30,10,2
Zac,10,10,10,40,60,40,80,1
Nocturne,40,20,50,20,10,30,30,1
Karma,30,80,10,30,30,80,30,2
Ryze,70,50,70,30,20,60,30,8
Sylas,60,40,20,20,40,20,30,5
Twitch,50,10,70,10,10,20,20,5
Cassiopeia,50,40,80,20,30,50,10,8
Kassadin,70,30,10,30,10,20,60,3
Xerath,30,90,10,10,10,30,10,5
Qiyana,60,20,40,10,10,70,60,6
Zilean,50,70,10,10,10,60,30,3
Orianna,60,60,10,20,10,30,20,3
Ahri,70,60,10,10,40,20,60,4
Poppy,20,10,30,90,10,70,30,1
Rek'Sai,30,20,50,20,40,20,50,3
Hecarim,20,10,50,50,20,40,60,5
Katarina,70,40,20,10,20,10,70,5
Jarvan IV,30,20,50,30,10,40,40,3
Sion,50,40,50,60,10,50,20,1
Jhin,60,40,50,10,10,30,10,6
Zed,50,30,50,10,10,10,50,6
Varus,40,50,70,10,10,30,10,5
Volibear,40,10,40,40,50,50,40,2
Janna,10,50,10,20,50,90,50,3
Galio,20,60,20,60,10,60,30,2
Dr. Mundo,30,40,40,80,60,20,10,1
Cho'Gath,50,20,20,60,40,40,10,2
Olaf,20,50,60,50,40,30,20,3
Rengar,80,10,50,10,30,40,40,6
Annie,70,40,10,20,10,30,10,1
Malphite,60,60,10,70,10,50,20,1
Leona,10,10,20,80,20,90,20,1
Zoe,80,30,10,10,10,20,20,6
Evelynn,90,10,10,10,30,20,40,3
Ekko,70,20,20,20,40,30,40,2
Kled,10,10,60,60,10,40,30,1
Kha'Zix,80,20,20,10,20,10,40,2
Tahm Kench,20,20,20,80,20,40,30,2
Wukong,60,10,50,20,10,30,30,2
Teemo,50,50,30,20,10,20,20,1
Miss Fortune,50,80,40,10,10,20,20,3
Jax,30,10,70,40,10,50,20,2
Blitzcrank,30,10,10,50,10,30,20,2
Kindred,50,10,60,10,30,20,50,6
Morgana,50,50,10,20,30,80,20,5
Maokai,20,10,10,70,40,80,10,2
Neeko,60,60,60,10,10,50,30,4
Soraka,10,40,10,10,90,30,20,2
Talon,80,20,30,10,10,10,80,4
Amumu,40,10,10,80,20,70,20,1
LeBlanc,60,60,10,10,10,20,70,4
Gnar,20,20,50,50,10,20,30,2
Nami,20,50,20,10,60,50,20,5
Gangplank,40,40,50,10,30,20,10,5
Anivia,40,60,10,20,10,50,10,2
Twisted Fate,10,50,20,10,10,50,10,6
Lucian,60,20,80,10,10,10,50,6
