Name,Burst,Poke,Basic Attacks,Tank,Sustain,Utility,Mobility,Difficulty
Karthus,60,70,10,30,10,20,10,1
Malphite,60,40,10,70,10,50,20,1
Nautilus,40,20,20,60,20,90,30,2
Urgot,20,50,40,30,10,30,20,2
Galio,20,60,20,60,10,60,30,2
Rakan,10,30,10,10,50,60,90,1
Shen,10,10,30,70,20,70,40,1
Zac,10,10,10,50,60,40,60,1
Dr. Mundo,30,40,40,80,60,20,10,1
Pyke,40,10,40,10,50,50,40,5
Udyr,10,10,60,60,30,50,55,1
Aphelios,20,50,90,30,50,70,10,9
Alistar,20,20,10,90,30,60,40,1
Karma,30,55,10,30,30,80,30,2
Ahri,70,60,10,10,40,20,60,4
Senna,20,70,70,20,40,60,10,6
Cho'Gath,50,20,20,60,40,40,10,2
Skarner,10,10,50,80,20,50,50,1
Irelia,50,10,65,40,10,60,60,9
Pantheon,50,40,50,60,10,30,30,4
Braum,10,20,10,70,10,90,30,1
Xerath,30,90,10,25,10,30,10,5
Illaoi,50,60,40,60,50,20,10,1
Ornn,30,20,30,80,10,70,40,2
Sett,30,10,50,60,10,70,30,2
Graves,50,20,70,10,10,20,30,5
Hecarim,20,10,50,50,20,40,60,5
Garen,40,10,60,70,40,20,20,1
Nidalee,70,70,10,10,50,10,60,8
Maokai,20,10,10,70,40,80,10,2
Lee Sin,70,10,50,30,10,20,50,9
Ashe,10,50,60,10,10,60,10,2
Sejuani,40,10,20,80,20,70,30,2
Yasuo,40,10,80,20,10,50,70,9
Camille,40,20,60,40,20,60,50,3
Darius,30,10,60,40,50,20,10,2
Thresh,20,10,20,40,20,70,20,7
Yuumi,10,40,10,10,70,60,80,2
Volibear,40,10,40,40,50,50,40,2
Tryndamere,30,10,90,10,60,20,60,1
Xayah,60,20,80,30,10,50,20,5
Singed,10,10,10,70,70,30,50,1
Jarvan IV,30,20,50,30,10,40,40,3
Warwick,10,10,40,50,70,50,50,1
Zoe,80,30,10,10,10,20,20,6
Bard,60,10,30,10,30,50,50,2
Blitzcrank,30,10,10,50,10,30,20,2
Riven,50,10,70,15,10,60,80,6
Poppy,20,10,30,90,10,70,30,1
Ekko,70,20,20,20,40,30,40,2
Sona,30,70,10,10,60,40,30,2
Quinn,60,20,50,10,10,30,60,4
