Role,Player name,Rank,Win rate(%),Wins / losses
Mid,BottleCaps,Platinum III - 80 LP,64.2,199 / 111
Jungle,Jinxnator,Platinum III - 53 LP,63.5,125 / 72
Support,worsesupp,Platinum IV - 66 LP,63.3,88 / 51
ADC,Rio Sonogami,Platinum IV - 63 LP,62.6,82 / 49
Jungle,Superb,Platinum III - 22 LP,62.5,135 / 81
Support,Straitéis,Platinum III - 52 LP,62.3,149 / 90
Top,Moleman,Platinum IV - 71 LP,60.9,140 / 90
Top,Dumbass,Platinum IV - 58 LP,60.8,219 / 141
Top,Amouranth,Platinum IV - 77 LP,60.1,193 / 128
Support,Kapp Wampie,Platinum IV - 94 LP,59.9,115 / 77
Jungle,Kong,Platinum IV - 81 LP,59.3,105 / 72
Top,HAHAHAHAHAHAXD,Platinum IV - 65 LP,59.3,188 / 129
Jungle,jekedeke,Platinum IV - 93 LP,58.9,155 / 108
Top,thegamingzebra,Platinum III - 26 LP,58.8,161 / 113
ADC,TES Jackeylove,Platinum III - 12 LP,58.8,133 / 93
Support,Kutcher,Platinum III - 41 LP,58.7,169 / 119
Top,Raleigh Obelisk,Platinum I - 79 LP,58.6,184 / 130
Top,xxaznpuppy32xx,Platinum III - 78 LP,58.4,192 / 137
Support,JhinSuppNoTroll,Platinum IV - 59 LP,58.4,146 / 104
Top,Copyright,Platinum III - 13 LP,58.1,168 / 121
Jungle,Sparrow,Platinum III - 59 LP,57.9,180 / 131
Mid,Caps,Platinum IV - 51 LP,57.9,186 / 135
Support,Plays Rengar Sup,Platinum III - 91 LP,57.8,166 / 121
Jungle,Never Ganks,Platinum III - 47 LP,57.8,163 / 119
Jungle,ibims1long,Platinum III - 67 LP,57.5,123 / 91
Top,Agent Boris,Platinum III - 39 LP,56.7,174 / 133
Mid,Tap,Platinum IV - 87 LP,56.5,169 / 130
Jungle,Wrath,Platinum III - 74 LP,56.3,135 / 105
Mid,creative mind,Platinum III - 82 LP,56.2,181 / 141
Top,Pepega,Platinum III - 41 LP,56.1,147 / 115
Support,Nightlight,Platinum IV - 95 LP,56.0,131 / 103
ADC,Let me 1vs9,Platinum IV - 55 LP,56.0,102 / 80
Jungle,Poppey,Platinum III - 69 LP,55.9,142 / 112
ADC,BotBot,Platinum IV - 53 LP,55.9,128 / 101
Top,Randomsmeker1234,Platinum III - 5 LP,55.7,172 / 137
Top,MJay,Platinum IV - 78 LP,55.7,167 / 133
Support,owl city,Platinum IV - 57 LP,55.7,187 / 149
Mid,eren yeager,Platinum III - 17 LP,55.4,148 / 119
Support,RNG Ming,Platinum IV - 59 LP,55.1,167 / 136
Top,TheBausSpecial,Platinum III - 18 LP,54.9,175 / 144
ADC,A bootiful perso,Platinum IV - 62 LP,54.9,156 / 128
Top,Top,Platinum III - 45 LP,54.8,119 / 98
Support,Aqua,Platinum III - 0 LP,54.7,163 / 135
ADC,PvM,Platinum IV - 78 LP,54.7,157 / 130
Top,Smug Egirl Owo,Platinum IV - 61 LP,54.6,171 / 142
Top,Broken Blade,Platinum IV - 58 LP,54.5,144 / 120
Mid,Anomaly ,Platinum IV - 57 LP,54.5,171 / 143
ADC,sola,Platinum II - 14 LP,54.4,160 / 134
Mid,Renners,Platinum IV - 93 LP,54.4,143 / 120
Jungle,Exemplar,Platinum IV - 56 LP,54.3,133 / 112
Jungle,L.Arm of Cauw,Platinum III - 19 LP,54.2,137 / 116
ADC,Addy,Platinum IV - 75 LP,54.2,162 / 137
Mid,DOINB RYZE HACK,Platinum III - 1 LP,53.9,165 / 141
Jungle,420~truaznkity,Platinum IV - 97 LP,53.9,174 / 149
Support,d0gg0,Platinum II - 77 LP,53.8,164 / 141
Jungle,Hiyori,Platinum IV - 58 LP,53.7,137 / 118
Support,Xpecial,Platinum IV - 89 LP,53.6,162 / 140
