Role,Player name,Rank,Win rate(%),Wins / losses
Support,worsesupp,Platinum III - 4 LP,63.7,116 / 66
Jungle,Jinxnator,Platinum III - 68 LP,63.1,142 / 83
Mid,BottleCaps,Platinum III - 20 LP,62.4,217 / 131
Jungle,Superb,Platinum III - 47 LP,62.1,157 / 96
Support,Straitéis,Platinum III - 30 LP,61.1,168 / 107
Top,Moleman,Platinum III - 8 LP,60.4,162 / 106
Top,Punchaubuns,Platinum III - 33 LP,59.6,65 / 44
Top,Raleigh Obelisk,Platinum I - 49 LP,58.7,196 / 138
ADC,TES Jackeylove,Platinum III - 67 LP,58.5,165 / 117
Support,Kapp Wampie,Platinum III - 33 LP,58.5,137 / 97
Top,thegamingzebra,Platinum III - 4 LP,58.3,179 / 128
Support,JhinSuppNoTroll,Platinum III - 3 LP,58.3,169 / 121
Mid,Caps,Platinum IV - 81 LP,58.2,210 / 151
Support,Kutcher,Platinum III - 15 LP,58.1,187 / 135
Top,xxaznpuppy32xx,Platinum III - 36 LP,58.0,211 / 153
Jungle,Never Ganks,Platinum III - 39 LP,57.9,187 / 136
Jungle,Wrath,Platinum II - 73 LP,57.7,153 / 112
Support,Plays Rengar Sup,Platinum III - 75 LP,57.6,185 / 136
Top,Copyright,Platinum IV - 82 LP,57.6,194 / 143
Jungle,Poppey,Platinum II - 52 LP,57.2,163 / 122
Mid,[REDACTED],Platinum III - 47 LP,57.1,80 / 60
Jungle,Sparrow,Platinum III - 8 LP,57.1,197 / 148
Top,TurboThrow,Platinum III - 99 LP,56.9,91 / 69
Top,MJay,Platinum III - 56 LP,56.9,197 / 149
Top,Randomsmeker1234,Platinum III - 74 LP,56.8,196 / 149
Top,Top,Platinum II - 18 LP,56.6,141 / 108
Top,Salsa,Platinum III - 9 LP,56.5,131 / 101
Jungle,110110010011,Platinum III - 99 LP,56.0,159 / 125
Support,Aqua,Platinum III - 78 LP,56.0,192 / 151
ADC,PvM,Platinum III - 66 LP,56.0,182 / 143
Support,RNG Ming,Platinum III - 10 LP,55.5,187 / 150
ADC,T1 T1,Platinum III - 55 LP,55.4,195 / 157
Mid,Phantom,Platinum IV - 90 LP,55.4,144 / 116
Top,Smug Egirl Owo,Platinum III - 8 LP,55.3,192 / 155
Top,Malakkar,Platinum III - 7 LP,55.2,158 / 128
Top,RNG Letme,Platinum III - 4 LP,55.0,170 / 139
Support,Xpecial,Platinum III - 64 LP,54.7,182 / 151
Jungle,EG Voutocu,Platinum IV - 98 LP,54.5,187 / 156
ADC,sola,Platinum III - 88 LP,54.4,174 / 146
Mid,Renners,Platinum IV - 86 LP,54.4,160 / 134
Support,Tiriana,Platinum III - 41 LP,54.1,99 / 84
Mid,NULL,Platinum III - 14 LP,54.1,193 / 164
Jungle,TarzanFaker,Platinum III - 78 LP,53.9,186 / 159
Jungle,funnel is dead,Platinum IV - 80 LP,53.9,180 / 154
ADC,Pokimane,Platinum III - 1 LP,53.5,185 / 161
ADC,Bacon,Platinum III - 31 LP,53.4,111 / 97
Jungle,GG Bekhali,Platinum III - 5 LP,53.4,172 / 150
Mid,Arteros,Platinum IV - 96 LP,53.4,179 / 156
Support,d0gg0,Platinum II - 39 LP,53.3,178 / 156
Top,Broken Blade,Platinum IV - 87 LP,53.3,170 / 149
ADC,Perkz,Platinum III - 0 LP,52.6,194 / 175
ADC,B0n Ivern,Platinum IV - 92 LP,52.6,162 / 146
Support,225,Platinum III - 28 LP,52.4,177 / 161
Support,healslut,Platinum III - 0 LP,52.3,182 / 166
Top,give me life,Platinum IV - 99 LP,52.2,190 / 174
Support,God damn i doode,Platinum III - 36 LP,52.1,164 / 151
Support,iEnygma,Platinum III - 1 LP,52.1,182 / 167
ADC,Japan,Platinum IV - 88 LP,52.1,163 / 150
Jungle,time,Platinum III - 15 LP,52.0,154 / 142
Support,Josuke Higashika,Platinum III - 28 LP,51.9,123 / 114
Jungle,Layla,Platinum III - 4 LP,51.8,160 / 149
Jungle,Zevton,Platinum II - 24 LP,51.7,185 / 173
ADC,Uma Jan monkaS,Platinum III - 9 LP,51.7,171 / 160
ADC,Klojjr,Platinum IV - 94 LP,51.7,150 / 140
Jungle,chef,Platinum IV - 85 LP,51.7,182 / 170
Mid,Seirilyvia,Platinum III - 29 LP,51.5,103 / 97
Jungle,JUGKlNG,Platinum IV - 92 LP,51.4,150 / 142
Support,Support and AFk,Platinum III - 0 LP,51.1,116 / 111
ADC,cryhard,Platinum III - 65 LP,50.9,174 / 168
ADC,Kanashimi Clown,Platinum IV - 82 LP,50.7,182 / 177
Mid,mid gap,Platinum III - 4 LP,50.6,157 / 153
Support,SuppBot,Platinum IV - 96 LP,50.6,123 / 120
Jungle,Exfiltrate,Platinum III - 62 LP,50.4,179 / 176
Support,JANNA PLAYER :3,Platinum III - 17 LP,50.2,158 / 157
Mid,IG Wh1t3zZ,Platinum IV - 97 LP,50.0,198 / 198
Support,unicornpetpetuwu,Platinum IV - 95 LP,50.0,171 / 171
Mid,Ann Takamaki,Platinum IV - 87 LP,50.0,96 / 96
Mid,Megumin,Platinum III - 1 LP,49.7,170 / 172
Jungle,420,Platinum IV - 80 LP,49.7,152 / 154
Mid,Simonze,Platinum III - 37 LP,49.6,174 / 177
Top,Leonidas,Platinum III - 18 LP,49.6,166 / 169
ADC,TPOPIS,Platinum III - 3 LP,49.6,174 / 177
Mid,Neekolul,Platinum III - 5 LP,49.4,167 / 171
Jungle,tarzaned,Platinum IV - 80 LP,49.1,172 / 178
Support,Rashid,Platinum IV - 81 LP,49.0,175 / 182
Top,Kapp MenInBlack,Platinum IV - 96 LP,48.9,115 / 120
Support,Duckling,Platinum IV - 95 LP,48.9,157 / 164
Support,Tratz,Platinum III - 13 LP,48.8,158 / 166
Support,Right leg,Platinum IV - 94 LP,48.7,128 / 135
Top,shuiwen,Platinum III - 4 LP,48.5,144 / 153
Mid,Nea,Platinum IV - 88 LP,48.4,148 / 158
